,cnpj,razao_social
0,71066427000130.0,ACO SALES LTDA
1,35771000000170.0,"MOS - IMPORTS, EXPORTS LTDA"
2,19599390000196.0,ALL IN INDUSTRIA COMERCIO IMPORTACAO E EXPORTACAO LTDA
3,24209434000164.0,WILLIAN APARECIDO DA SILVA - COMERCIAL
4,21068275000137.0,VINTAGE VISION INDUSTRIA OTICA BRASILEIRA LTDA
5,22528133000178.0,SULMINAS SUPLEMENTOS E NUTRICAO LTDA
6,17077640000100.0,SMA DISTRIBUIDORA DE MOTO PECAS LTDA
7,13426041000196.0,SABIAS COMIDAS INDUSTRIA E COMERCIO LTDA
8,21110440000171.0,PRODUTOS FAISCA INDUSTRIA COMERCIO LTDA
9,11828425000100.0,"TRANSPORTADORA E COMERCIO DE FRUTAS, IMPORTACAO E EXPOR"
